"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
"7","-0.9908","-0.7039","0.0666","ESTABLISHMENT OF 
EPITHELIAL CELL 
POLARITY%GOBP%GO:0090162 ","1.0","CLASP1|FBF1|CDC42|PARD3|SLC9A3R1|OPHN1|GOLPH3|CYTH3|SH3BP1|CYTH1|RHOA|MYO18A|EZR|MSN|MYO9A|SIPA1L3","establishment of epithelial cell polarity","16","ENR","ESTABLISHMENT OF EPITHELIAL CELL POLARITY%GOBP%GO:0090162","-1.466","0.0092","ESTABLISHMENT OF EPITHELIAL CELL POLARITY%GOBP%GO:0090162",,,"false","ESTABLISHMENT OF EPITHELIAL CELL POLARITY%GOBP%GO:0090162"
"7","-0.9919","-0.6493","0.0791","SPINDLE 
LOCALIZATION%GOBP%GO:0051653 ","1.0","UBXN2B|SPDL1|NDEL1|NSFL1C|MAP4|ZW10|CFL1|DYNLT1|NDC80|NDE1|NUSAP1|GPSM2|ITGB1|ZBED3|KPNB1|ASPM|SPIRE2|SPIRE1|CLASP1|CLASP2|PAFAH1B1|HTT|FBXW11|DYNC1H1|DCTN1|LLGL1|LLGL2|NUMA1|CDK5RAP2","spindle localization","29","ENR","SPINDLE LOCALIZATION%GOBP%GO:0051653","-1.44","0.0081","SPINDLE LOCALIZATION%GOBP%GO:0051653",,,"false","SPINDLE LOCALIZATION%GOBP%GO:0051653"
"7","-0.996","-0.6522","0.0954","ESTABLISHMENT OF 
SPINDLE 
LOCALIZATION%GOBP%GO:0051293 ","1.0","UBXN2B|SPDL1|NDEL1|NSFL1C|MAP4|ZW10|CFL1|DYNLT1|NDC80|NDE1|NUSAP1|GPSM2|ITGB1|ZBED3|KPNB1|SPIRE2|SPIRE1|CLASP1|CLASP2|PAFAH1B1|HTT|FBXW11|DYNC1H1|DCTN1|LLGL1|LLGL2|NUMA1|CDK5RAP2","establishment of spindle localization","28","ENR","ESTABLISHMENT OF SPINDLE LOCALIZATION%GOBP%GO:0051293","-1.4147","0.004","ESTABLISHMENT OF SPINDLE LOCALIZATION%GOBP%GO:0051293",,,"false","ESTABLISHMENT OF SPINDLE LOCALIZATION%GOBP%GO:0051293"
"7","-1.0","-0.6251","0.0746","ESTABLISHMENT OF 
CELL 
POLARITY%GOBP%GO:0030010 ","1.0","UBXN2B|EPHB1|RAB11FIP2|AMOTL1|PARD3B|CRB2|CCR7|MPP7|BRSK2|SPDL1|FAM89B|NDEL1|NSFL1C|SDCCAG8|CRTAM|ZW10|DYNLT1|AMOT|NDC80|NDE1|SNX27|GPSM2|ARHGEF11|ITGB1|RHOA|STK11|FGF13|GSK3B|CLASP1|PAFAH1B1|HTT|FBXW11|SCRIB|DCTN1|PARD3|SLC9A3R1|GOLPH3|DOCK7|LLGL1|CYTH3|LLGL2|SH3BP1|PRKCZ|CYTH1|EZR|MSN|GBF1|MYO9A|SIPA1L3|FBF1|RAB10|MAP4|CDC42|HSP90AB1|MYO18A|HSP90AA1|PTK2|OPHN1|NUMA1|CDK5RAP2|MARK2","establishment of cell polarity","61","ENR","ESTABLISHMENT OF CELL POLARITY%GOBP%GO:0030010","-1.4495","0.0","ESTABLISHMENT OF CELL POLARITY%GOBP%GO:0030010",,,"false","ESTABLISHMENT OF CELL POLARITY%GOBP%GO:0030010"
"7","-0.9949","-0.6675","0.0751","ESTABLISHMENT OF 
SPINDLE 
ORIENTATION%GOBP%GO:0051294 ","1.0","UBXN2B|CLASP1|SPDL1|NDEL1|NSFL1C|PAFAH1B1|MAP4|HTT|ZW10|DYNLT1|NDC80|FBXW11|NDE1|GPSM2|DCTN1|ITGB1|LLGL1|LLGL2|NUMA1|CDK5RAP2","establishment of spindle orientation","20","ENR","ESTABLISHMENT OF SPINDLE ORIENTATION%GOBP%GO:0051294","-1.4487","0.0051","ESTABLISHMENT OF SPINDLE ORIENTATION%GOBP%GO:0051294",,,"false","ESTABLISHMENT OF SPINDLE ORIENTATION%GOBP%GO:0051294"
"43","-0.999","-0.6314","0.0893","PID_TRKR_
PATHWAY%MSIGDB_
C2%PID_TRKR_
PATHWAY","1.0","GRB2|SOS1|HRAS|FRS2|TIAM1|PTPN11|PRKCI|CDC42|CRK|PIK3CA|DYNLT1|ELMO1|SHC1|STAT3|PIK3R1|DOCK1|MAPK1|SQSTM1|MAPK3|RAPGEF1|MAP2K1|KRAS|CRKL|BDNF|MCF2L|FAIM|MAGED1|MATK|RIT1|GAB2|SH2B1|PRKCZ|RAP1A|NRAS|RAC1","PID_TRKR_PATHWAY","35","ENR","PID_TRKR_PATHWAY%MSIGDB_C2%PID_TRKR_PATHWAY","-1.4219","0.001","PID_TRKR_PATHWAY%MSIGDB_C2%PID_TRKR_PATHWAY",,,"false","PID_TRKR_PATHWAY%MSIGDB_C2%PID_TRKR_PATHWAY"
"43","-0.9949","-0.6561","0.0923","SIGNALLING TO 
ERKS%REACTOME 
DATABASE ID 
RELEASE 
75%187687 ","1.0","MAP2K1|RAPGEF1|SOS1|FRS2|CRKL|HRAS|MAPKAPK3|RALB|KIDINS220|RALA|YWHAB|RALGDS|BRAF|CRK|RIT1|MAP2K2|SHC1|MAPK1|MAPKAPK2|MAPK14|MAPK13|MAPK3|RAP1A|NRAS","Signalling to ERKs","24","ENR","SIGNALLING TO ERKS%REACTOME DATABASE ID RELEASE 75%187687","-1.4183","0.0051","SIGNALLING TO ERKS%REACTOME DATABASE ID RELEASE 75%187687",,,"false","SIGNALLING TO ERKS%REACTOME DATABASE ID RELEASE 75%187687"
"4","-0.998","-0.6887","0.0552","REGULATION OF 
GLUTAMATE 
RECEPTOR 
SIGNALING 
PATHWAY%GOBP%GO:1900449 ","1.0","MINK1|NLGN3|DAPK1|PRNP|EPHB2|GSG1L|CAPN1|DLG1|GRIA3|MEF2C|DLG2|SHISA9|ADRB2|LRRC7|APP|OPRM1|DLG4|PTK2B|FYN|NETO1|NECAB2|CCR2|DLG3|SLC6A9","regulation of glutamate receptor signaling pathway","24","ENR","REGULATION OF GLUTAMATE RECEPTOR SIGNALING PATHWAY%GOBP%GO:1900449","-1.5013","0.002","REGULATION OF GLUTAMATE RECEPTOR SIGNALING PATHWAY%GOBP%GO:1900449",,,"false","REGULATION OF GLUTAMATE RECEPTOR SIGNALING PATHWAY%GOBP%GO:1900449"
"4","-1.0","-0.6747","0.0381","REGULATION OF 
PROTEIN TYROSINE 
KINASE 
ACTIVITY%GOBP%GO:0061097 ","0.968","DOCK3|NEDD9|PRNP|SRC|RAP2B|SH3BP5|STAP1|DOK7|PTPRC|APP|RAP2C|SHC1|LILRB4|FYN|PTPN1|CBL|ADAM17|NCK2|MVP|PDGFB|BDNF|CASS4|ZGPAT|NCF1|VPS25|FBXW7|TSG101|SNX6|DLG4|CBLB|TGFA|GAS6|ZFYVE28|EGF|DUSP22|HYAL2|SOCS4|CSF1R|EPHA4|LRP8|LILRA5|UNC119|FCGR1A|DLG3|SOCS5","regulation of protein tyrosine kinase activity","45","ENR","REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097","-1.5382","0.0","REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097",,,"false","REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097"
"4","-1.0","-0.6331","0.0643","REGULATION OF 
SIGNALING 
RECEPTOR 
ACTIVITY%GOBP%GO:0010469 ","1.0","MEF2C|AKAP9|PDE4D|SHC1|ITGB1|PTK2B|TAF1|TNF|DLG1|HDAC2|DLG2|HDAC1|LRRC7|OPRM1|ZGPAT|NCF1|VPS25|HIF1A|TSG101|SNX6|DLG4|BUD31|CBLB|RAMP3|PPARA|BICD1|ZFYVE28|DLGAP1|DLGAP4|BEGAIN|SOCS4|NPTXR|CLEC12B|HFE|GREM2|NETO1|CNRIP1|DLG3|CCR2|NCOA3|SLC6A9|SOCS5|MINK1|NLGN3|DAPK1|EPHB2|GSG1L|CAPN1|GRIA3|SHISA9|ANKRD13C|ADRB2|APP|LILRB4|NRP1|HDAC6|CBL|ADAM17|NCK2|PRKCD|FCGR2B|FBXW7|TGFA|EGF|NOG|JAK2|PARK7","regulation of signaling receptor activity","67","ENR","REGULATION OF SIGNALING RECEPTOR ACTIVITY%GOBP%GO:0010469","-1.4737","0.0","REGULATION OF SIGNALING RECEPTOR ACTIVITY%GOBP%GO:0010469",,,"false","REGULATION OF SIGNALING RECEPTOR ACTIVITY%GOBP%GO:0010469"
"4","-1.0","-0.6318","0.063","POSITIVE 
REGULATION OF 
PEPTIDYL-TYROSINE 
PHOSPHORYLATION%GOBP%GO:0050731 ","1.0","ACVR1|SRC|PTPN11|ARHGEF2|STAT3|PIBF1|PTK2B|FLT3|FYN|TNF|RIPK2|ABL1|ITGA5|DGKQ|PTPN1|GATA1|PDGFB|BDNF|CASS4|NCF1|CD74|PAK2|DLG4|GAS6|PARP14|CSF1R|EPHA4|LRP8|LILRA5|IL15|UNC119|FCGR1A|CD40|DLG3|DOCK3|IL6R|NEDD9|PRNP|STAP1|IL6ST|DOK7|PTPRC|SOCS3|MIF|ITGB3|CCL5|PARP9|ENPP2|BMP6|CNTF|TNK2|ARL2BP|VEGFA|CD81|IL18|IL23R|TNFRSF1A|THBS4|HCLS1|CLCF1|NRP1|TP53|PECAM1|OSM|CD80|HGF|SEMA4D|EFNA5|BANK1|TGFB1|CD44|TNFRSF14|HAX1|ADAM17|PTPRJ|LYN|KIT|FBXW7|TEC|TGFA|ANGPT1|EGF|JAK2","positive regulation of peptidyl-tyrosine phosphorylation","83","ENR","POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731","-1.4801","0.0","POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731",,,"false","POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731"
"4","-0.9908","-0.7045","0.0639","REGULATION OF 
EPIDERMAL GROWTH 
FACTOR-ACTIVATED 
RECEPTOR 
ACTIVITY%GOBP%GO:0007176 ","1.0","CBL|ADAM17|NCK2|APP|ZGPAT|NCF1|VPS25|FBXW7|TSG101|SNX6|CBLB|TGFA|SHC1|ZFYVE28|EGF|SOCS4|SOCS5","regulation of epidermal growth factor-activated receptor activity","17","ENR","REGULATION OF EPIDERMAL GROWTH FACTOR-ACTIVATED RECEPTOR ACTIVITY%GOBP%GO:0007176","-1.4765","0.0092","REGULATION OF EPIDERMAL GROWTH FACTOR-ACTIVATED RECEPTOR ACTIVITY%GOBP%GO:0007176",,,"false","REGULATION OF EPIDERMAL GROWTH FACTOR-ACTIVATED RECEPTOR ACTIVITY%GOBP%GO:0007176"
"4","-0.9939","-0.6696","0.0859","POSITIVE 
REGULATION OF 
SIGNALING 
RECEPTOR 
ACTIVITY%GOBP%GO:2000273 ","1.0","NLGN3|EPHB2|ADAM17|HDAC2|ADRB2|HDAC1|NCF1|HIF1A|FBXW7|BUD31|TGFA|EGF|ITGB1|HDAC6|HFE|TAF1|JAK2|PARK7|CCR2|NCOA3","positive regulation of signaling receptor activity","20","ENR","POSITIVE REGULATION OF SIGNALING RECEPTOR ACTIVITY%GOBP%GO:2000273","-1.4293","0.0061","POSITIVE REGULATION OF SIGNALING RECEPTOR ACTIVITY%GOBP%GO:2000273",,,"false","POSITIVE REGULATION OF SIGNALING RECEPTOR ACTIVITY%GOBP%GO:2000273"
"4","-0.997","-0.689","0.0581","POSITIVE 
REGULATION OF 
PROTEIN TYROSINE 
KINASE 
ACTIVITY%GOBP%GO:0061098 ","1.0","DOCK3|NEDD9|PRNP|SRC|STAP1|DOK7|FYN|PTPN1|ADAM17|BDNF|PDGFB|CASS4|NCF1|FBXW7|DLG4|TGFA|GAS6|EGF|CSF1R|EPHA4|LRP8|LILRA5|UNC119|FCGR1A|DLG3","positive regulation of protein tyrosine kinase activity","25","ENR","POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061098","-1.4952","0.003","POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061098",,,"false","POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061098"
,"-0.998","-0.6519","0.0651","O-LINKED 
GLYCOSYLATION OF 
MUCINS%REACTOME%R-HSA-913709.3 ","1.0","B3GNT5|GCNT1|GALNT12|GCNT4|GCNT7|GALNT11|GALNT14|C1GALT1C1|GALNT18|GALNT10|B3GNTL1|B4GALT6|B4GALT5|C1GALT1|ST3GAL4|MUC5B|ST3GAL3|MUC20|GALNT7|GALNT6|ST6GALNAC2|B3GNT2|ST6GALNAC3|ST6GALNAC4|ST3GAL2|B3GNT9|B3GNT8|GALNTL6|GALNT4|GALNT3|GALNT2|GALNT1|ST6GAL1|ST3GAL1","O-linked glycosylation of mucins","34","ENR","O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%R-HSA-913709.3","-1.4712","0.002","O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%R-HSA-913709.3",,,"false","O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%R-HSA-913709.3"
,"1.0","0.4698","0.0918","MONOCYTE 
CHEMOTAXIS%GOBP%GO:0002548 ","0.38","IL6R|PTPRO|RPS19|DEFB104B|LGALS3|CCL4|PDGFB|CCL5|FLT1|CCL4L2|ANXA1|S100A12|TNFRSF11A|MSMP|CCL3L3","monocyte chemotaxis","15","ENR","MONOCYTE CHEMOTAXIS%GOBP%GO:0002548","1.6803","0.0","MONOCYTE CHEMOTAXIS%GOBP%GO:0002548",,,"false","MONOCYTE CHEMOTAXIS%GOBP%GO:0002548"
"5","-0.9959","-0.74","0.0443","NEGATIVE 
REGULATION OF 
MICROTUBULE 
DEPOLYMERIZATION%GOBP%GO:0007026 ","0.991","CLASP1|MID1IP1|CLASP2|NAV3|CIB1|CAMSAP1|CAMSAP2|TTBK2|ATXN7|KATNB1|APC|ARHGEF2|APC2|TAOK1|FGF13","negative regulation of microtubule depolymerization","15","ENR","NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026","-1.5237","0.0041","NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026",,,"false","NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026"
"5","-0.999","-0.6735","0.0575","NEGATIVE 
REGULATION OF 
PROTEIN 
DEPOLYMERIZATION%GOBP%GO:1901880 ","1.0","MID1IP1|FLII|TRIOBP|CAPZB|GSN|NAV3|CIB1|CAPG|ADD3|CAMSAP1|CAMSAP2|TTBK2|ATXN7|VILL|EPS8|ADD2|PIK3CA|KATNB1|TWF1|ADD1|APC|ARHGEF2|TWF2|APC2|TAOK1|FGF13|AVIL|CLASP1|CLASP2|CAPZA1|CAPZA2|LIMA1|SVIL","negative regulation of protein depolymerization","33","ENR","NEGATIVE REGULATION OF PROTEIN DEPOLYMERIZATION%GOBP%GO:1901880","-1.4945","0.001","NEGATIVE REGULATION OF PROTEIN DEPOLYMERIZATION%GOBP%GO:1901880",,,"false","NEGATIVE REGULATION OF PROTEIN DEPOLYMERIZATION%GOBP%GO:1901880"
"5","-1.0","-0.6038","0.0968","NEGATIVE 
REGULATION OF 
CYTOSKELETON 
ORGANIZATION%GOBP%GO:0051494 ","1.0","STMN1|MID1IP1|FLII|TRIOBP|CAPZB|NAV3|CIB1|BRCA1|CAPG|WASF2|ADD3|CAMSAP1|CAMSAP2|TTBK2|PFN1|ATXN7|DYRK1A|VILL|EPS8|ADD2|PIK3CA|KATNB1|TWF1|ADD1|APC|ARHGEF2|PIK3R1|TWF2|SMAD4|APC2|TAOK1|FGF13|ARHGEF7|AVIL|CLASP1|CLASP2|CAPZA1|NPM1|CAPZA2|LIMA1|SVIL|PICK1|MDM1|TMSB10|ARHGEF18|ARHGAP6|CCNF|CORO1B|CORO1A|WAS|TRIM37|PAK2|PPFIA1|TMSB4X|CHMP2A|FKBP4|RBM14|TMEM67|HIP1R|SSH2|SSH3|GMFB|GMFG|KANK1|ARFGEF1|KAT2A|GSN|MAPRE1|SSH1|PHLDB2|KAT2B|PFN2|CCP110|MYADM|F11R|INPP5K|PRKCD|ARAP1|TBCD|EML2|MAP2|CTNNA2|SNCA|CDK5RAP2","negative regulation of cytoskeleton organization","84","ENR","NEGATIVE REGULATION OF CYTOSKELETON ORGANIZATION%GOBP%GO:0051494","-1.4104","0.0","NEGATIVE REGULATION OF CYTOSKELETON ORGANIZATION%GOBP%GO:0051494",,,"false","NEGATIVE REGULATION OF CYTOSKELETON ORGANIZATION%GOBP%GO:0051494"
"5","-0.9969","-0.7159","0.0494","REGULATION OF 
MICROTUBULE 
DEPOLYMERIZATION%GOBP%GO:0031114 ","1.0","CLASP1|MID1IP1|CLASP2|NAV3|CIB1|CAMSAP1|CAMSAP2|TTBK2|ATXN7|KATNB1|APC|ARHGEF2|MAP1S|MAP1A|APC2|TAOK1|FGF13","regulation of microtubule depolymerization","17","ENR","REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0031114","-1.5135","0.0031","REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0031114",,,"false","REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0031114"
"5","-1.0","-0.691","0.0234","NEGATIVE 
REGULATION OF 
PROTEIN COMPLEX 
DISASSEMBLY%GOBP%GO:0043242 ","0.839","MID1IP1|FLII|TRIOBP|CAPZB|GSN|NAV3|CIB1|CAPG|ADD3|CAMSAP1|CAMSAP2|TTBK2|ATXN7|VILL|EPS8|ADD2|PIK3CA|KATNB1|TWF1|PHF23|ADD1|APC|ARHGEF2|SCAF4|TWF2|APC2|TMEM39A|SCAF8|HDAC6|TAOK1|UBQLN4|TNF|FGF13|AVIL|CLASP1|CLASP2|IRAK3|CAPZA1|CAPZA2|LIMA1|SVIL|CLEC16A","negative regulation of protein complex disassembly","42","ENR","NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242","-1.5688","0.0","NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242",,,"false","NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242"
"5","-1.0","-0.6716","0.0667","NEGATIVE 
REGULATION OF 
MICROTUBULE 
POLYMERIZATION 
OR 
DEPOLYMERIZATION%GOBP%GO:0031111 ","1.0","CLASP1|STMN1|MID1IP1|CLASP2|NAV3|CIB1|MAPRE1|CAMSAP1|CAMSAP2|TTBK2|ATXN7|DYRK1A|KATNB1|TBCD|FKBP4|APC|ARHGEF2|EML2|MAP2|APC2|SNCA|TAOK1|FGF13|ARHGEF7","negative regulation of microtubule polymerization or depolymerization","24","ENR","NEGATIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031111","-1.4667","0.0","NEGATIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031111",,,"false","NEGATIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031111"
,"-0.9879","-0.6558","0.0891","POSITIVE 
REGULATION OF 
ERYTHROCYTE 
DIFFERENTIATION%GOBP%GO:0045648 ","1.0","ETS1|TAL1|GATA1|BRD1|NCKAP1L|ANKRD54|MED1|PRMT1|HIF1A|FOXO3|STAT1|FAM210B|ARNT|STAT3|ACVR2A|HMGB2|MAPK14|HSPA1B|HSPA1A|ACVR1B|ZNF16|PRKDC|STAT5B","positive regulation of erythrocyte differentiation","23","ENR","POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION%GOBP%GO:0045648","-1.4224","0.0121","POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION%GOBP%GO:0045648",,,"false","POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION%GOBP%GO:0045648"
,"-0.9847","-0.6905","0.0697","BIOCARTA_G1_
PATHWAY%MSIGDB_
C2%BIOCARTA_G1_
PATHWAY","1.0","CDK2|GSK3B|CDKN1B|CDKN2B|TGFB1|CDKN2A|CDK6|HDAC1|ATR|ATM|CDK4|TFDP1|CDKN1A|SMAD4|RB1|DHFR|SKP2","BIOCARTA_G1_PATHWAY","17","ENR","BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY","-1.459","0.0153","BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY",,,"false","BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY"
"23","-0.997","-0.6808","0.0541","CARDIOCYTE 
DIFFERENTIATION%GOBP%GO:0035051 ","1.0","AKAP13|CBY1|ACVR1|FHOD3|PDLIM5|MEF2C|MAML1|SORBS2|RBPJ|NOTCH1|JAG1|VEGFA|SMAD4|SLC8A1|NRG1|KDM6B|SRF|SIK1|TGFBR3|NEBL|PDCD4|NEB|REST|MYH11|BMPR1A|TTN|PDGFRB|ALPK3|MEF2A","cardiocyte differentiation","29","ENR","CARDIOCYTE DIFFERENTIATION%GOBP%GO:0035051","-1.5054","0.003","CARDIOCYTE DIFFERENTIATION%GOBP%GO:0035051",,,"false","CARDIOCYTE DIFFERENTIATION%GOBP%GO:0035051"
"23","-1.0","-0.7353","0.0295","CARDIAC MUSCLE 
CELL 
DIFFERENTIATION%GOBP%GO:0055007 ","0.913","AKAP13|CBY1|ACVR1|FHOD3|SLC8A1|PDLIM5|MEF2C|MAML1|SORBS2|NRG1|VEGFA|KDM6B|SIK1|NEBL|NEB|MYH11|BMPR1A|TTN|PDGFRB|ALPK3|MEF2A","cardiac muscle cell differentiation","21","ENR","CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007","-1.5548","0.0","CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007",,,"false","CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007"
"23","-0.9878","-0.6833","0.0798","CARDIAC CELL 
DEVELOPMENT%GOBP%GO:0055006 ","1.0","FHOD3|SLC8A1|PDLIM5|MAML1|SORBS2|NOTCH1|JAG1|VEGFA|TGFBR3|NEBL|PDCD4|NEB|MYH11|BMPR1A|TTN|PDGFRB|ALPK3|MEF2A","cardiac cell development","18","ENR","CARDIAC CELL DEVELOPMENT%GOBP%GO:0055006","-1.4401","0.0122","CARDIAC CELL DEVELOPMENT%GOBP%GO:0055006",,,"false","CARDIAC CELL DEVELOPMENT%GOBP%GO:0055006"
"51","-0.9868","-0.6751","0.0801","BIOCARTA_ALK_
PATHWAY%MSIGDB_
C2%BIOCARTA_ALK_
PATHWAY","1.0","GSK3B|TGFB1|MAP3K7|AXIN1|ACVR1|MEF2C|DVL1|BMPR2|ATF2|FZD1|SMAD1|APC|RFC1|TGFBR1|TGFBR2|TGFBR3|SMAD4|CTNNB1|NOG|BMPR1A","BIOCARTA_ALK_PATHWAY","20","ENR","BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY","-1.4373","0.0132","BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY",,,"false","BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY"
"51","-0.9845","-0.68","0.0865","BIOCARTA_WNT_
PATHWAY%MSIGDB_
C2%BIOCARTA_WNT_
PATHWAY","1.0","GSK3B|AXIN1|FRAT1|CSNK2A1|MYC|MAP3K7|CREBBP|DVL1|HDAC1|NLK|FZD1|APC|CTBP1|SMAD4|CTNNB1|PPP2CA","BIOCARTA_WNT_PATHWAY","16","ENR","BIOCARTA_WNT_PATHWAY%MSIGDB_C2%BIOCARTA_WNT_PATHWAY","-1.4279","0.0155","BIOCARTA_WNT_PATHWAY%MSIGDB_C2%BIOCARTA_WNT_PATHWAY",,,"false","BIOCARTA_WNT_PATHWAY%MSIGDB_C2%BIOCARTA_WNT_PATHWAY"
,"-0.99","-0.6461","0.0967","
3-PHOSPHOINOSITIDE 
BIOSYNTHESIS%HUMANCYC%PWY-6352 ","1.0","PIK3R4|PIK3C3|PIK3C2B|PIK3CD|PI4KA|PIK3CA|PIP5K1B|PIP5K1C|PIP5K1A|PIK3R1|SACM1L|PIK3R5|PIK3CB|PIK3R2|CDIPT|FIG4|PI4KB|PI4K2B|PIK3C2A|PIKFYVE|PIP4K2B|PIK3R6|PIK3CG|PI4K2A|PIK3R3","3-phosphoinositide biosynthesis","25","ENR","3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352","-1.4112","0.01","3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352",,,"false","3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352"
,"-0.9959","-0.6971","0.0549","NEGATIVE 
REGULATION OF 
PLASMA MEMBRANE 
BOUNDED CELL 
PROJECTION 
ASSEMBLY%GOBP%GO:0120033 ","1.0","KANK1|CAPZB|STAP1|CDK10|PRKCD|TCHP|TESK1|EVI5L|LIMK2|MAP4|TBC1D30|CEP97|ABI3|EVL|RAP1GAP|ODF2L|TBC1D7|ARHGAP24|PFN2|CCP110","negative regulation of plasma membrane bounded cell projection assembly","20","ENR","NEGATIVE REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY%GOBP%GO:0120033","-1.5012","0.0041","NEGATIVE REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY%GOBP%GO:0120033",,,"false","NEGATIVE REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY%GOBP%GO:0120033"
,"-0.997","-0.649","0.0802","RUNX1 INTERACTS 
WITH CO-FACTORS 
WHOSE PRECISE 
EFFECT ON RUNX1 
TARGETS IS NOT 
KNOWN%REACTOME 
DATABASE ID 
RELEASE 
75%8939243 ","1.0","CBFB|CSNK2A1|CSNK2A2|SMARCB1|EP300|RUNX1|PHC2|PHC1|RING1|HIPK2|CBX4|PHC3|ARID2|PBRM1|AUTS2|YAF2|ARID1A|PCGF5|SMARCD1|ARID1B|SMARCC1|RYBP|SMARCC2|SMARCD2|RNF2|SMARCA4|CBX6|ACTL6A|SMARCA2|SMARCD3|BMI1|CSNK2B|SMARCE1","RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known","33","ENR","RUNX1 INTERACTS WITH CO-FACTORS WHOSE PRECISE EFFECT ON RUNX1 TARGETS IS NOT KNOWN%REACTOME DATABASE ID RELEASE 75%8939243","-1.4375","0.003","RUNX1 INTERACTS WITH CO-FACTORS WHOSE PRECISE EFFECT ON RUNX1 TARGETS IS NOT KNOWN%REACTOME DATABASE ID RELEASE 75%8939243",,,"false","RUNX1 INTERACTS WITH CO-FACTORS WHOSE PRECISE EFFECT ON RUNX1 TARGETS IS NOT KNOWN%REACTOME DATABASE ID RELEASE 75%8939243"
