"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","RRNA 
PROCESSING%REACTOME 
DATABASE ID 
RELEASE 75%72312 ",,"TRMT10C|RPP30|ELAC2|HSD17B10|RPP38|RPP21|RPP14|DIS3|NOP2|DDX49|DDX47|WDR3|FCF1|NAT10|THUMPD1|PWP2|WDR46|WDR43|RRP9|FBL|UTP14A|UTP14C|UTP15|WDR36|DIMT1|IMP3|WDR75|IMP4|DDX52|RPL26|UTP18|RPL29|UBA52|DIEXF|HEATR1|RPL28|TSR3|RPL10|NOC4L|RPL12|NOL6|RPL11|RRP7A|RPL36A|PDCD11|RPS27L|BMS1|RPS4Y1|DHX37|RPS15A|RRP36|RPS3|UTP20|RPL14|UTP6|RPL13|NOP14|RPL15|PNO1|RPL18|UTP3|RPL17|KRR1|RPL19|RCL1|RPL41|TBL3|RPL35A|MPHOSPH10|RPL23A|NOL11|RPS27A|PELP1|XRN2|RPS26|TFB1M|RPS25|NOP56|RPS28|EXOSC7|RPS27|EXOSC6|RPS29|EXOSC5|RPL27A|EXOSC4|RPS20|EXOSC9|RPL22L1|RRP1|FAU|RPS6|EXOSC8|EXOSC3|RPS21|EXOSC2|RPS24|EXOSC1|RPS23|LAS1L|RPS2|RIOK2|RPL4|RIOK1|RPL5|NSUN4|RPL30|TEX10|RPL3|GNL3|RPL32|NIP7|RPL31|EXOSC10|RPLP1|RIOK3|RPL34|WDR18|RPLP0|WDR12|RPL10A|BYSL|RPL8|TSR1|RPL6|FTSJ3|RPL7|EBNA1BP2|RPS15|NCL|ISG20L2|RPS4X|RPL7A|NOB1|RPS14|C1D|RPS17|MRM1|RPS16|LTV1|RPL18A|ERI1|RPS19|NOL12|RPS18|NOL9|RPL36AL|PES1|RPL36|BOP1|RPLP2|MPHOSPH6|RPL35|RBM28|RPL38|SENP3|RPL37|DDX21|RPS11|NOP58|RPS10|DCAF13|RPL39|DKC1|RPS13|NHP2|RPS12|GAR1|RPS9|NOP10|RPS7|CSNK1D|RPL21|CSNK1E|RPS8|RPS5|RPL23|RPL22|RPL13A|RPS3A|RPSA|RPL37A|RPL24|RPL27|TRMT112","rRNA processing","185","ENR","RRNA PROCESSING%REACTOME DATABASE ID RELEASE 75%72312","1.0","0.01","RRNA PROCESSING%REACTOME DATABASE ID RELEASE 75%72312","false","RRNA PROCESSING%REACTOME DATABASE ID RELEASE 75%72312"
"0.99",,"1.0","ORGANIC ACID 
TRANSPORT%GOBP%GO:0015849 ",,"MID1IP1|SLC38A1|SLC38A2|ATP8B1|SLC38A5|SLC38A4|SLC51A|SLC7A11|SLC7A6|SLC26A8|SLC7A7|MFSD2A|SLC3A1|SLC19A1|SH3BP4|RPS6KB1|SLC23A1|SLC7A5|NCOA2|SLC38A9|CPT1A|SLC10A3|SLC6A12|LLGL2|SLC27A1|SLC6A8|CPT1B|SLC6A9|SFXN1|GOT2|SLC25A38|SLC16A3|PRAF2|SLC25A15|SLC3A2|PRKAB2|ACSL1|CPT2|FABP3|FABP5|NCOA1|PPARD|ABCB4|RXRA|SLC26A1|ACSL3|LRRC8D|SLC25A45|MPC1|MPC2|SLC25A13|CTNS|SLC16A7|AKR1C4|SLC25A18|SLC38A7|SLC25A12|SLC38A6|SLC25A22|SLC25A1|SLC23A2|SLC25A11|MFSD12|ABCB1|SLC25A30|SLC38A10|SLC38A11|ARL6IP5|SLC13A3|ABCD2|SLC25A32|SLC43A2|ABCD1|SLC43A1|STARD5|SLC27A4|SLC10A1|ABCD3|ABCC3|SLC25A17|CD36|ABCG2|ABCC1|ABCC2|SLC7A1|SLC16A6|SLC16A4|SLC16A5|SLC16A13|FOLR3|SLCO3A1|ACACA|ABCC5|ABCC4|SFXN5|ABCC6|ABCC10|SLC9A3R1|ACACB|SLC25A14|SLC27A3|PNPLA8|CLN3|PSAP|SLC16A10|SLC25A29|SLC16A1|ABCD4|SLC25A20|GIPC1|AQP9|SLC26A6|SLC15A4|SLC22A4|PRKAG2|CEACAM1|SLC6A6|SLC17A5|SLC36A4|SLC46A1|SLC36A1|SLC5A6|SLC1A1|SLC1A3|SLC1A4|SLC2A1|EMB|SLC1A5|ANXA1|SLC25A44","organic acid transport","130","ENR","ORGANIC ACID TRANSPORT%GOBP%GO:0015849","1.0","0.01","ORGANIC ACID TRANSPORT%GOBP%GO:0015849","false","ORGANIC ACID TRANSPORT%GOBP%GO:0015849"
"0.99",,"1.0","FOXA2 AND FOXA3 
TRANSCRIPTION 
FACTOR 
NETWORKS%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%FOXA2 AND 
FOXA3 
TRANSCRIPTION 
FACTOR NETWORKS ",,"CEBPA|AKT1|TFRC|ALAS1|CREB1|ACADM|CEBPB|NF1|CEBPD|HADH|NR3C1|CPT1A|BDH1|SP1|UCP2|ACADVL|HMGCS1|CPT1B","FOXA2 and FOXA3 transcription factor networks","18","ENR","FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS","1.0","0.01","FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS","false","FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS"
"0.99",,"1.0","APOPTOTIC CELL 
CLEARANCE%GOBP%GO:0043277 ",,"TXNDC5|TGM2|RAB14|XKR8|XKR9|XKR6|RHOBTB2|RARA|RAC2|ITGB3|ITGAV|SCARB1|THBS1|GAS6|TYROBP|NR1H3|RHOG|LRP1|HMGB1|RHOH|RHOBTB1|ALOX15|FCN1|RAC1","apoptotic cell clearance","24","ENR","APOPTOTIC CELL CLEARANCE%GOBP%GO:0043277","1.0","0.01","APOPTOTIC CELL CLEARANCE%GOBP%GO:0043277","false","APOPTOTIC CELL CLEARANCE%GOBP%GO:0043277"
"0.99",,"1.0","REGULATION OF 
P38MAPK 
CASCADE%GOBP%GO:1900744 ",,"PER1|MINK1|SASH1|PTPN22|PHLPP1|GADD45B|DUSP1|GADD45A|DUSP10|VEGFA|MFHAS1|LGALS9|AGER|ZC3H12A|IL1B|RASGRP1|SPI1|EMC10|DLG1|PJA2|RELL1|RELL2|NCF1|PRMT1|CYLD|MAP3K4|EZR|ULK4","regulation of p38MAPK cascade","28","ENR","REGULATION OF P38MAPK CASCADE%GOBP%GO:1900744","1.0","0.01","REGULATION OF P38MAPK CASCADE%GOBP%GO:1900744","false","REGULATION OF P38MAPK CASCADE%GOBP%GO:1900744"
"0.99",,"1.0","ACTIVATED TAK1 
MEDIATES P38 MAPK 
ACTIVATION%REACTOME 
DATABASE ID 
RELEASE 
75%450302 ",,"MAP3K7|MAPKAPK3|IRAK2|TAB3|NOD1|TRAF6|TAB2|NOD2|IKBKG|IRAK1|TAB1|MAP2K3|MAPKAPK2|MAPK14|UBE2N|UBE2V1|MAP2K6|RIPK2","activated TAK1 mediates p38 MAPK activation","18","ENR","ACTIVATED TAK1 MEDIATES P38 MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 75%450302","1.0","0.01","ACTIVATED TAK1 MEDIATES P38 MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 75%450302","false","ACTIVATED TAK1 MEDIATES P38 MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 75%450302"
"0.99",,"1.0","EPITHELIAL CELL 
DEVELOPMENT%GOBP%GO:0002064 ",,"SRC|CDK6|ENG|PDE4D|ABI2|ATF4|PDGFB|PDE2A|EZR|MSN|RAP1A|SIPA1L3|RAP2B|IL6ST|RAP1B|CDH2|SLC4A7|EXPH5|RAP2C|BFSP1|LRTOMT|CCDC88C|RILPL2|MYO1E|TMEM79|JAG1|RDX|RILPL1|BMP6|PLS1|PPP1R16B|PODXL|RAPGEF2|ACTA2|RAB1A|RAB1B|RAPGEF3|F2RL1|MYADM|TJP3|TJP2|PECAM1|F11R|ICAM1|MAGI2|COL18A1|RAPGEF6|RAPGEF1|IQGAP1|WNT7A|SOD1","epithelial cell development","51","ENR","EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002064","1.0","0.01","EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002064","false","EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002064"
"0.99",,"1.0","
NONSENSE-MEDIATED 
DECAY 
(NMD)%REACTOME%R-HSA-927802.2 ",,"RPL26|RPL29|UBA52|RPL28|RPL10|RPL12|RPL11|RPL36A|RPS27L|RPS4Y1|RPS15A|RPS3|RPL14|RPL13|RPL15|RPL18|RPL17|RPL19|RPL41|RPL35A|RPL23A|RPS27A|RPS26|RPS25|RPS28|RPS27|RPS29|RPL27A|RPS20|RPL22L1|FAU|RPS6|RPS21|RPS24|RPS23|RPS2|RPL4|RPL5|RPL30|RPL3|RPL32|RPL31|RPLP1|RPL34|RPLP0|RPL10A|RPL8|RPL6|RPL7|RPS15|RPS4X|RPL7A|RPS14|RPS17|RPS16|RPL18A|RPS19|RPS18|RPL36AL|RPL36|RPLP2|RPL35|RPL38|RPL37|RPS11|RPS10|RPL39|RPS13|RPS12|RPS9|RPS7|RPL21|SMG1|RPS8|SMG9|RPS5|SMG7|RPL23|SMG8|RPL22|SMG5|RPL13A|SMG6|RPS3A|UPF1|RPSA|PNRC2|PPP2CA|PPP2R2A|RPL37A|DCP1A|RPL24|PPP2R1A|RPL27|ETF1|GSPT2|GSPT1|EIF4A3|CASC3|MAGOH|NCBP1|NCBP2|RBM8A|UPF3B|MAGOHB|RNPS1|PABPC1|UPF3A|EIF4G1|UPF2","Nonsense-Mediated Decay (NMD)","110","ENR","NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2","1.0","0.01","NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2","false","NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2"
"0.99",,"1.0","RESPONSE TO 
IONIZING 
RADIATION%GOBP%GO:0010212 ",,"RHNO1|MYC|HRAS|BABAM1|BRCA1|TMEM109|AEN|SIRT1|NUCKS1|USP28|ATM|TLK2|INTS7|FANCD2|RAD9A|NIPBL|DCUN1D3|EEF1D|STK11|TNKS1BP1|NHEJ1|RAD1|MTA1|KDM1A|SWI5|ATR|WRN|INO80|PAXIP1|RAD9B|GRB2|CLOCK|RNF168|RPL26|GADD45A|ECT2|LIG4|MSH2|RNF8|IFI16|CDKN1A|PRKAA1|XRCC5|TP53|FIGNL1|SPIDR|XRCC4|SMPD1|MDM2|RHOB|BRAT1|CLK2|BRCC3|EYA3|MEN1|IKBIP|INIP|XRRA1|UIMC1|INTS3|TANK|HUS1|KAT5|BLM|ANXA1|NET1|TOPBP1|HSF1|NABP2|MAPK14|XRCC6|RFWD3|TRIM13","response to ionizing radiation","73","ENR","RESPONSE TO IONIZING RADIATION%GOBP%GO:0010212","1.0","0.01","RESPONSE TO IONIZING RADIATION%GOBP%GO:0010212","false","RESPONSE TO IONIZING RADIATION%GOBP%GO:0010212"
"0.99",,"1.0","
PROTEIN-CONTAINING 
COMPLEX 
LOCALIZATION%GOBP%GO:0031503 ",,"DYNC2LI1|SRSF3|SRSF4|XPO1|HNRNPA2B1|SRSF7|RBM15B|U2AF2|RAN|ATM|ENY2|THOC3|EIF4E|THOC2|CDC40|GLE1|THOC7|SRRM1|THOC6|DDX39A|SARNP|ZC3H11A|SRSF2|DYNLRB1|POLDIP3|U2AF1|U2AF1L4|NPM1|DHX38|DLG1|DLG2|NOP9|RRS1|LRRC7|CPSF4|RAB8A|POLR2D|KIF5C|CPSF1|STX3|KIF5B|CPSF3|GRIPAP1|CPSF2|GPHN|SYNJ2BP|MX1|SCRIB|THOC1|PABPN1|EZR|EIF6|SDAD1|SMAD7|EIF5A|HHEX|SEH1L|AAAS|NUP50|MX2|NUP54|TNPO1|NUP214|NOL6|THOC5|RANBP2|NUP43|MZT1|PCID2|DDX39B|NUP210|NUP35|NUP37|NUP98|SRSF11|TRIP11|NUP205|POM121C|NUP85|NUP88|POM121|TPR|EXOC3|NDC1|IFT122|RAE1|NUP188|RABL2B|SEC13|LCA5L|NUP62|NUP160|IFT43|DNM2|IFT46|NUP107|NUP155|WDR19|NUP153|KIF3A|NUP93|NUP133|WDR33|AP3D1|DNM3|XPOT|SSB|AGFG1|RPS15|DDX19A|DDX19B|SYMPK|LTV1|MCM3AP|HIP1|YTHDC1|NXT1|IFT27|IFT52|IFT57|SMG1|CLUAP1|SMG7|FIP1L1|SMG5|TTC21A|SMG6|NACC2|UPF1|TUB|TSC1|WDR35|ABCE1|LSG1|TTC26|IFT20|ATR|IFT172|SLU7|IFT80|ALYREF|NMD3|SRSF1|PCM1|NXF1|SRSF6|IFT140|DLG4|KLHL21|SRSF9|RAB11A|MIOS|HSPB11|IFT88|RPGR|DLG3|RCC2|DYNLL1|KIFAP3|TNFAIP2|SRSF5|IFT74|SLBP|SSX2IP|KIF3B|CEP72|TTC30B|KIF3C|VPS35|MAK|IWS1|CHTOP|DYNLL2|TRAF3IP1|TTC21B|EIF4A3|CASC3|MAGOH|NCBP1|NCBP2|RBM8A|UPF3B|MAGOHB|ALKBH5|RNPS1|UPF2|GRIP1|DYNC2H1","protein-containing complex localization","188","ENR","PROTEIN-CONTAINING COMPLEX LOCALIZATION%GOBP%GO:0031503","1.0","0.01","PROTEIN-CONTAINING COMPLEX LOCALIZATION%GOBP%GO:0031503","false","PROTEIN-CONTAINING COMPLEX LOCALIZATION%GOBP%GO:0031503"
"0.99",,"1.0","REGULATORY 
CIRCUITS OF THE 
STAT3 SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP4538%HOMO 
SAPIENS ",,"IL2RA|SRC|OSMR|PRKCB|MAPK9|MAPKAP1|STAT3|IL2RG|IFNGR2|MAPK1|MLST8|IL7R|JAK3|MAPK3|IL10RB|IL10RA|DUSP2|IL2RB|RICTOR|MTOR|IFNLR1|IL27RA|IL20RB|MAPK8|TRIM28|IL6R|MAPK6|CREBBP|IL6ST|PTPRC|SOCS3|IFNAR1|F2RL2|SETD7|CSF2RB|DEPTOR|AKT1S1|MPL|IFNAR2|TYK2|IL15RA|IL21R|JAK1|MAPK7|IFNGR1|IL5RA|F2R|PTPRT|MAPK14|MAPK13|CSF3R","Regulatory circuits of the STAT3 signaling pathway","51","ENR","REGULATORY CIRCUITS OF THE STAT3 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4538%HOMO SAPIENS","1.0","0.01","REGULATORY CIRCUITS OF THE STAT3 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4538%HOMO SAPIENS","false","REGULATORY CIRCUITS OF THE STAT3 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4538%HOMO SAPIENS"
"0.99",,"1.0","EMBRYONIC LIMB 
MORPHOGENESIS%GOBP%GO:0030326 ",,"WDPCP|AFF3|CREBBP|PTCH1|HDAC2|MYH3|WNT7A|ECE1|HDAC1|RARG|MBNL1|MEGF8|LRP6|CACNA1C|SKI|NIPBL|NOG|CTNNB1|FBXW4","embryonic limb morphogenesis","19","ENR","EMBRYONIC LIMB MORPHOGENESIS%GOBP%GO:0030326","1.0","0.01","EMBRYONIC LIMB MORPHOGENESIS%GOBP%GO:0030326","false","EMBRYONIC LIMB MORPHOGENESIS%GOBP%GO:0030326"
"0.99",,"1.0","DOWNREGULATION 
OF ERBB2 
SIGNALING%REACTOME%R-HSA-8863795.2 ",,"AKT1|RNF41|RPS27A|UBB|HSP90AA1|UBC|STUB1|CUL5|PTPN18|PTPN12|UBA52|AKT2|MATK|AKT3|ERBB2|NRG1|EGF|CDC37|USP8","Downregulation of ERBB2 signaling","19","ENR","DOWNREGULATION OF ERBB2 SIGNALING%REACTOME%R-HSA-8863795.2","1.0","0.01","DOWNREGULATION OF ERBB2 SIGNALING%REACTOME%R-HSA-8863795.2","false","DOWNREGULATION OF ERBB2 SIGNALING%REACTOME%R-HSA-8863795.2"
"0.99",,"1.0","REGULATION OF 
ORGAN 
GROWTH%GOBP%GO:0046620 ",,"WWC3|LATS2|GSK3A|VGLL4|MEF2C|RBPJ|PTEN|NOTCH1|SOD1|BASP1|DUSP6|GLI1|TGFBR1|TGFBR3|NOG|RUNX1|BMPR1A|AKAP6|PIM1|FGFR2|WWC2|LATS1","regulation of organ growth","22","ENR","REGULATION OF ORGAN GROWTH%GOBP%GO:0046620","1.0","0.01","REGULATION OF ORGAN GROWTH%GOBP%GO:0046620","false","REGULATION OF ORGAN GROWTH%GOBP%GO:0046620"
"0.99",,"1.0","LEUKOCYTE 
ACTIVATION 
INVOLVED IN 
INFLAMMATORY 
RESPONSE%GOBP%GO:0002269 ",,"IFNGR1|APP|CLU|ITGB2|AIF1|ITGAM|GRN|TYROBP|FPR2|SNCA|C5AR1|MAPT|JAK2|AGER|TNF","leukocyte activation involved in inflammatory response","15","ENR","LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE%GOBP%GO:0002269","1.0","0.01","LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE%GOBP%GO:0002269","false","LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE%GOBP%GO:0002269"
"0.99",,"1.0","BIOCARTA_FAS_
PATHWAY%MSIGDB_
C2%BIOCARTA_FAS_
PATHWAY",,"CASP10|MAPK8|FAF1|LMNB2|MAP3K7|DFFB|MAP2K4|DFFA|CASP6|PTPN13|CASP3|ARHGDIB|JUN|PAK1|RB1|FADD|MAP3K1|PRKDC|LMNA|RIPK2|PARP1","BIOCARTA_FAS_PATHWAY","21","ENR","BIOCARTA_FAS_PATHWAY%MSIGDB_C2%BIOCARTA_FAS_PATHWAY","1.0","0.01","BIOCARTA_FAS_PATHWAY%MSIGDB_C2%BIOCARTA_FAS_PATHWAY","false","BIOCARTA_FAS_PATHWAY%MSIGDB_C2%BIOCARTA_FAS_PATHWAY"
"0.99",,"1.0","SYNTHESIS OF PIPS 
AT THE PLASMA 
MEMBRANE%REACTOME%R-HSA-1660499.6 ",,"INPP4B|PTPN13|PTEN|PIP4K2C|INPP4A|PIK3CA|MTM1|SYNJ1|PIK3R1|PI4K2B|RAB14|PI4K2A|BMX|INPPL1|PIK3C2B|PLEKHA5|PIK3CD|PLEKHA3|PLEKHA8|ARF1|MTMR14|PIP5K1B|PIP5K1C|RUFY1|PIP5K1A|RAB5A|SYNJ2|INPP5K|PIK3R5|PIK3CB|PIK3R2|PIK3C2A|MTMR6|OCRL|MTMR1|MTMR3|MTMR8|PLEKHA1|MTMR9|PLEKHA2|RAB4A|INPP5D|PIP4K2A|PIP4K2B|PIK3R6|PIK3CG|PIK3R3|SBF2|MTMR2","Synthesis of PIPs at the plasma membrane","49","ENR","SYNTHESIS OF PIPS AT THE PLASMA MEMBRANE%REACTOME%R-HSA-1660499.6","1.0","0.01","SYNTHESIS OF PIPS AT THE PLASMA MEMBRANE%REACTOME%R-HSA-1660499.6","false","SYNTHESIS OF PIPS AT THE PLASMA MEMBRANE%REACTOME%R-HSA-1660499.6"
"0.99",,"1.0","UBIQUITIN 
MEDIATED 
DEGRADATION OF 
PHOSPHORYLATED 
CDC25A%REACTOME%R-HSA-69601.3 ",,"PSMD14|PSMD13|PSMA7|PSMB10|UBB|PSMB6|UBC|PSMB7|PSMB4|PSMB5|PSMB2|PSMB3|PSMB1|UBA52|PSMF1|PSMB8|PSMB9|PSMC5|PSMC6|PSMC3|PSMC4|PSMC1|PSMC2|PSMD8|PSMD9|PSMD6|PSMD7|PSMD4|PSMD5|PSMD2|PSMD3|PSMD1|CHEK2|RPS27A|PSMA5|PSMA6|PSMA3|PSME2|PSMA4|PSMA1|PSMA2|PSME3|PSME4|PSME1|PSMD10|PSMD12|PSMD11","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","47","ENR","UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%R-HSA-69601.3","1.0","0.01","UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%R-HSA-69601.3","false","UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%R-HSA-69601.3"
"0.99",,"1.0","NEGATIVE 
REGULATION OF 
PROTEIN 
TRANSPORT%GOBP%GO:0051224 ",,"KCNE1|GOPC|RSC1A1|UBE2J1|SVIP|RHBDF2|BMP8A|SNX12|DERL3|GDI1|YOD1|IRS1|ERP29|KLF7|RAB11FIP3|RSAD2|RANGAP1|DMTN|PPM1F|CHGA|OPRM1|BARD1|LRRK2|DERL2|HMGCR|ERLEC1|LMAN1|OS9|CD200|UBAC2|DPH3|INSIG1|ADTRP|ITGB1BP1|SP100|CYP51A1|RAB11FIP1|RAB23|NR1H3|PSMD9|UFM1|MDFIC|CHP1|SUFU|INPP5K|IL1B|SERGEF|BAG4|CSK|PIM3|NDFIP2|NDFIP1|WWP2|UBE2G2|RAB11FIP5|F2R|MIDN|REST|PARK7|SNX3","negative regulation of protein transport","60","ENR","NEGATIVE REGULATION OF PROTEIN TRANSPORT%GOBP%GO:0051224","1.0","0.01","NEGATIVE REGULATION OF PROTEIN TRANSPORT%GOBP%GO:0051224","false","NEGATIVE REGULATION OF PROTEIN TRANSPORT%GOBP%GO:0051224"
"0.99",,"1.0","OSTEOBLAST 
DIFFERENTIATION%WIKIPATHWAYS_20210210%WP4787%HOMO 
SAPIENS ",,"MAPK8|WNT16|PIK3R4|WNT4|MAPK6|PIK3C2B|FZD3|PIK3CD|RBPJ|PRKCI|PRKCB|NOTCH1|PRKCA|MAPK9|PIK3CA|STAT1|PRKCE|FGFR1|PIK3R1|SMAD4|MAPK1|CTNNB1|MAPK3|FGFR2|PIK3R5|PIK3R2|PIK3C2A|MAPK7|PTCH1|WNT7A|BMPR2|RUNX2|PRKCQ|LRP6|PRKCH|PRKD1|SMAD1|FZD1|PIK3R3|MAPK14|PRKCZ|BMPR1A|PRKDC|MAPK13","Osteoblast differentiation","44","ENR","OSTEOBLAST DIFFERENTIATION%WIKIPATHWAYS_20210210%WP4787%HOMO SAPIENS","1.0","0.01","OSTEOBLAST DIFFERENTIATION%WIKIPATHWAYS_20210210%WP4787%HOMO SAPIENS","false","OSTEOBLAST DIFFERENTIATION%WIKIPATHWAYS_20210210%WP4787%HOMO SAPIENS"
"0.99",,"1.0","GPI ANCHOR 
METABOLIC 
PROCESS%GOBP%GO:0006505 ",,"PGAP2|PGAP3|MPPE1|PIGX|PIGM|DPM1|DPM2|GPLD1|PIGS|PIGU|PIGT|PIGO|PIGN|PIGQ|PYURF|PIGP|PIGZ|PIGW|PIGV|PIGY|PIGC|PIGB|PIGA|PIGK|PIGL|PIGG|PIGF|PIGH|GPAA1|PGAP1","GPI anchor metabolic process","30","ENR","GPI ANCHOR METABOLIC PROCESS%GOBP%GO:0006505","1.0","0.01","GPI ANCHOR METABOLIC PROCESS%GOBP%GO:0006505","false","GPI ANCHOR METABOLIC PROCESS%GOBP%GO:0006505"
"0.99",,"1.0","
NEUROTRANSMITTER 
TRANSPORT%GOBP%GO:0006836 ",,"SLC38A1|ARL6IP5|SLC38A2|SLC38A5|GLS|SLC22A1|HBB|SNPH|SYN3|PPFIA4|DNAJC5|NAAA|SYNJ1|STX19|STX11|SNAP29|GLUL|SLC18A2|SYN1|HSPA8|STX3|PDZD11|PPFIA1|SLC9A3R1|SLC6A12|STXBP2|GLS2|SLC6A16|CDK5|SLC6A9|SLC29A1|SLC29A2|STXBP1|DVL1|SLC25A38|STX2|PRAF2|SLC44A1|SLC44A2|NRXN1|PIP5K1C|CPLX2|SNAP47|SYK|SYT1|SNAPIN|SLC6A6|RIMS3|UNC13B|STX4|SLC36A1|SLC1A1|SLC1A3|SLC1A4|CASK|LIN7A|SLC1A5|LIN7C|BLOC1S6|APBA1|STXBP3|VAMP2|SNAP23|SLC25A13|PTPRN2|SLC25A18|SEC14L1|SLC25A12|SYT2|SLC25A22|SNCA","neurotransmitter transport","71","ENR","NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836","1.0","0.01","NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836","false","NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836"
"0.99",,"1.0","POST-CHAPERONIN 
TUBULIN FOLDING 
PATHWAY%REACTOME 
DATABASE ID 
RELEASE 
75%389977 ",,"TBCE|TUBA1C|TUBA8|TUBA4B|TUBA3D|TUBA3C|TUBA1A|TUBB4B|TUBB2B|TBCC|TBCB|TUBA4A|TBCD|TBCA|ARL2|TUBB6|TUBB1|TUBA1B|TUBB2A","Post-chaperonin tubulin folding pathway","19","ENR","POST-CHAPERONIN TUBULIN FOLDING PATHWAY%REACTOME DATABASE ID RELEASE 75%389977","1.0","0.01","POST-CHAPERONIN TUBULIN FOLDING PATHWAY%REACTOME DATABASE ID RELEASE 75%389977","false","POST-CHAPERONIN TUBULIN FOLDING PATHWAY%REACTOME DATABASE ID RELEASE 75%389977"
"0.99",,"1.0","PID_TOLL_
ENDOGENOUS_
PATHWAY%MSIGDB_
C2%PID_TOLL_
ENDOGENOUS_
PATHWAY",,"LY96|TLR4|IRAK2|IRAK4|IKBKB|IKBKG|CD14|CHUK|IRAK1|TIRAP|MYD88|HMGB1|HSPD1|TLR1|S100A9|TICAM1|S100A8|VCAN","PID_TOLL_ENDOGENOUS_PATHWAY","18","ENR","PID_TOLL_ENDOGENOUS_PATHWAY%MSIGDB_C2%PID_TOLL_ENDOGENOUS_PATHWAY","1.0","0.01","PID_TOLL_ENDOGENOUS_PATHWAY%MSIGDB_C2%PID_TOLL_ENDOGENOUS_PATHWAY","false","PID_TOLL_ENDOGENOUS_PATHWAY%MSIGDB_C2%PID_TOLL_ENDOGENOUS_PATHWAY"
"0.99",,"1.0","TNF ALPHA 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP231%HOMO 
SAPIENS ",,"SMPD2|CSNK2A1|HRAS|MAP3K8|RAF1|MAPK9|SKP1|MAP4K2|NFKB2|KSR1|MAPK1|BIRC2|PPP2CA|MAPK3|TBK1|TXN|PRKCZ|RIPK1|TRAF2|RAC1|MAP3K5|MAPK8|TNFRSF1B|REL|GRB2|MAP3K7|SOS1|CREBBP|MAP2K4|NFKBIB|BCL2L1|PYGL|PTPRCAP|NFKBIA|RIPK3|NSMAF|BAX|IKBKB|IKBKG|DIABLO|CHUK|OTUD7B|TNFRSF1A|NFKBIE|BAD|TNFAIP3|JUN|FADD|PSMD2|CDC37|TRAF1|KRAS|CASP9|RFFL|BIRC3|APAF1|CYBA|CASP3|TANK|MAP2K3|MAP3K1|MAP2K6|NFKB1|NRAS","TNF alpha Signaling Pathway","64","ENR","TNF ALPHA SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP231%HOMO SAPIENS","1.0","0.01","TNF ALPHA SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP231%HOMO SAPIENS","false","TNF ALPHA SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP231%HOMO SAPIENS"
